stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F02_0024_0002_1_D,18,23,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.04878048780487805,0.5,0.6111111111111112,0.0
F02_0024_0002_2_D,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4444444444444444,0.0
F02_0024_0003_1_D,18,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6111111111111112,0.0
F02_0024_0003_2_D,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222222,0.6666666666666666,0.0
F02_0036_0001_1,24,24,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.125,0.125,0.5,0.5,0.5,0.4166666666666667,0.4583333333333333,0.0
F02_0036_0001_2,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.6666666666666666,0.0
F02_0036_0002_1,24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.7083333333333334,0.0
F02_0036_0002_2,24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08333333333333333,0.08163265306122448,0.6666666666666666,0.7083333333333334,0.0
F02_0047_0001_1_D,43,37,0.0,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.23255813953488372,0.25,0.46511627906976744,0.5116279069767442,0.0
F02_0047_0001_2_D,43,44,0.022727272727272728,0.023255813953488372,0.022988505747126436,0.022727272727272728,0.023255813953488372,0.022988505747126436,0.20454545454545456,0.20930232558139536,0.20689655172413796,0.5581395348837209,0.6046511627906976,0.0
F02_0047_0002_1_D,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.5652173913043478,0.5652173913043478,0.0
F02_0047_0002_2_D,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086956521739131,0.6521739130434783,0.0
F02_0052_0001_1,22,27,0.0,0.0,0.0,0.037037037037037035,0.045454545454545456,0.04081632653061224,0.25925925925925924,0.3181818181818182,0.2857142857142857,0.5454545454545454,0.5,0.0
F02_0052_0001_2,22,32,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.13636363636363635,0.1111111111111111,0.6363636363636364,0.7272727272727273,0.0
F02_0052_0002_1_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.6363636363636364,0.6818181818181818,0.0
F02_0052_0002_2_D,22,26,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.13636363636363635,0.12499999999999997,0.6818181818181818,0.6818181818181818,0.0
F02_0052_0003_1_D,22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.22727272727272727,0.21739130434782608,0.45454545454545453,0.5454545454545454,0.0
F02_0052_0003_2_D,22,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.6818181818181818,0.0
F02_0067_0001_1,22,21,0.0,0.0,0.0,0.09523809523809523,0.09090909090909091,0.09302325581395349,0.23809523809523808,0.22727272727272727,0.23255813953488372,0.3181818181818182,0.4090909090909091,0.0
F02_0067_0001_2,22,23,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.13043478260869565,0.13636363636363635,0.1333333333333333,0.43478260869565216,0.45454545454545453,0.4444444444444445,0.36363636363636365,0.36363636363636365,0.0
F02_0067_0002_1,48,47,0.0,0.0,0.0,0.02127659574468085,0.020833333333333332,0.021052631578947368,0.1276595744680851,0.125,0.12631578947368421,0.5833333333333334,0.7083333333333334,0.0
F02_0067_0002_2,48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.6041666666666666,0.6666666666666666,0.0
F02_0095_0001_1_D,44,44,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.45454545454545453,0.4090909090909091,0.0
F02_0095_0001_2_D,44,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227272727272727,0.6363636363636364,0.0
F02_0095_0002_1_D,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.2727272727272727,0.2666666666666666,0.5454545454545454,0.6818181818181818,0.0
F02_0095_0002_2_D,22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.7272727272727273,0.0
F02_0095_0003_1_D,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.7272727272727273,0.0
F02_0095_0003_2_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.5909090909090909,0.7272727272727273,0.0
F02_0113_0001_1_D,20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0
F02_0113_0001_2_D,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.45,0.4736842105263158,0.25,0.25,0.0
F02_0113_0002_1_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.5,0.5909090909090909,0.0
