stem,error_type,event_time,reference_index,estimate_index,distance_to_phrase_boundary_seconds,near_phrase_boundary
q21,split,21.7,56,57,0.7669999999999995,False
q21,split,22.23,57,59,1.2970000000000006,False
q21,split,22.81,59,61,1.0420000000000016,False
q21,split,25.11,62,65,0.532,False
q21,split,26.11,65,68,1.532,False
q21,split,26.89,68,70,1.788999999999998,False
q21,split,27.16,68,71,1.5189999999999984,False
q21,split,27.33,69,72,1.3490000000000002,False
q21,split,28.27,70,74,0.4089999999999989,False
q21,split,29.41,71,76,0.17800000000000082,False
q21,split,29.99,73,78,0.7579999999999991,False
q21,split,30.26,74,79,1.0280000000000022,False
q21,split,31.03,76,82,0.9789999999999992,False
q21,merged,0.434,1,0,0.206,False
q21,merged,0.704,2,1,0.476,False
q21,merged,1.503,5,4,1.275,False
q21,merged,2.626,9,8,1.0820000000000003,False
q21,merged,3.116,10,9,0.5920000000000001,False
q21,merged,4.952,13,13,0.5380000000000003,False
q21,merged,5.747,16,16,1.3330000000000002,False
q21,merged,6.005,17,16,1.5220000000000002,False
q21,merged,6.5,19,18,1.0270000000000001,False
q21,merged,8.874,22,20,0.2270000000000003,False
q21,merged,9.127,23,21,0.4800000000000004,False
q21,merged,9.421,24,22,0.7739999999999991,False
q21,merged,10.485,28,25,1.8379999999999992,False
q21,merged,10.761,29,27,2.113999999999999,False
q21,merged,11.07,30,27,2.423,False
q21,merged,12.059,32,30,3.411999999999999,False
q21,merged,13.616,38,36,2.0649999999999995,False
q21,merged,13.735,39,37,1.9459999999999997,False
q21,merged,14.444,41,39,1.2369999999999983,False
q21,merged,21.403,55,55,0.46999999999999886,False
q21,merged,21.67,56,56,0.7370000000000019,False
q21,merged,22.255,58,59,1.3219999999999992,False
q21,merged,25.117,63,65,0.5390000000000015,False
q21,merged,26.119,66,68,1.5410000000000004,False
q21,merged,26.895,68,69,1.783999999999999,False
q21,merged,27.172,69,71,1.506999999999998,False
q21,merged,29.973,73,77,0.7409999999999997,False
q21,merged,30.239,74,78,1.0070000000000014,False
q21,spurious,18.18,-1,48,1.8879999999999981,False
q22,split,1.18,2,2,0.7569999999999999,False
q22,split,1.57,2,3,1.147,False
q22,split,1.57,3,3,1.147,False
q22,split,2.31,5,5,1.887,False
q22,split,2.98,6,6,2.557,False
q22,split,4.19,10,8,1.468,False
q22,split,4.57,10,9,1.088,False
q22,split,5.12,13,11,0.5380000000000003,False
q22,split,8.14,21,18,2.0420000000000007,False
q22,split,8.33,22,19,2.232,False
q22,split,10.22,25,23,1.8810000000000002,False
q22,split,13.18,32,29,0.4559999999999995,False
q22,split,16.12,39,34,1.8149999999999977,False
q22,split,16.53,41,35,1.4049999999999976,False
q22,split,19.23,48,42,0.7070000000000007,False
q22,split,20.41,51,45,0.9239999999999995,False
q22,split,21.92,55,48,0.20400000000000063,False
q22,split,23.69,61,53,0.7949999999999982,False
q22,split,26.52,65,58,1.471,False
q22,split,26.93,65,59,1.8810000000000002,False
q22,split,27.22,66,60,2.1709999999999994,False
q22,split,28.0,67,62,2.103999999999999,False
q22,split,28.85,68,64,1.2539999999999978,False
q22,split,29.68,69,66,0.4239999999999995,False
q22,split,35.24,74,71,1.149000000000001,False
q22,split,35.99,75,73,1.899000000000001,False
q22,split,36.4,76,74,1.4990000000000023,False
q22,split,37.34,77,76,0.5589999999999975,False
q22,split,40.95,80,79,0.8070000000000022,False
q22,split,41.33,81,80,1.1869999999999976,False
q22,merged,1.171,2,1,0.748,False
q22,merged,1.579,3,2,1.156,False
q22,merged,1.579,3,3,1.156,False
q22,merged,2.285,5,4,1.862,False
q22,merged,2.417,6,5,1.9939999999999998,False
q22,merged,3.027,7,6,2.604,False
